date,strategy_return,underlying_index_return,excess_return_pct_point,year,month
2024-07-31,-0.1254869775328108,-0.11892559845966666,-0.006561379073144136,2024,7
2024-08-31,-0.026208189083968825,-0.07455043597381972,0.04834224688985089,2024,8
2024-09-30,0.09368937072602113,0.06470592842346035,0.02898344230256078,2024,9
2024-10-31,-0.06330958607999482,-0.024995724318786716,-0.0383138617612081,2024,10
2024-11-30,-0.03435221847664183,-0.028758103364699528,-0.005594115111942299,2024,11
2024-12-31,0.09168409781380116,0.07310063037204828,0.018583467441752877,2024,12
2025-01-31,0.21087983912937225,0.2153712792448459,-0.004491440115473644,2025,1
2025-02-28,-0.024028822323451715,-0.08138805959037132,0.057359237266919605,2025,2
2025-03-31,-0.08583955150975453,-0.13662578656111057,0.05078623505135604,2025,3
2025-04-30,0.16183818584173082,0.12681596130955763,0.035022224532173185,2025,4
2025-05-31,0.18845592594961147,0.205341686313387,-0.016885760363775537,2025,5
2025-06-30,0.2575694821765835,0.29818862416163094,-0.04061914198504746,2025,6
2025-07-31,0.016878841524710753,0.06419875077996373,-0.04731990925525298,2025,7
2025-08-31,0.10544695097602252,-0.02731134897812526,0.13275829995414778,2025,8
2025-09-30,-0.0063480454225581795,0.04038813259791274,-0.04673617802047092,2025,9
2025-10-31,0.5606983659866582,0.4926117628447557,0.06808660314190251,2025,10
2025-11-30,-0.13398919733283765,-0.0790191006435329,-0.05497009668930475,2025,11
2025-12-31,-0.029963531516140507,-0.002779885567970042,-0.027183645948170465,2025,12
2026-01-31,0.30650398121721567,0.23840372742484606,0.06810025379236961,2026,1
2026-02-28,0.3258056476683169,0.22165994378639353,0.10414570388192335,2026,2
2026-03-31,-0.17402923369148293,-0.15566521438375047,-0.01836401930773246,2026,3
2026-04-30,0.7661657863150277,0.7979493995508984,-0.031783613235870645,2026,4
2026-05-31,0.19675987343816392,0.17745480056727758,0.01930507287088634,2026,5
