date,total_traded_weight_two_way,buy_weight,sell_weight,fixed_3bp_slippage_return_cost,tick_half_spread_return_cost,weighted_avg_half_spread_bp_on_trades,fixed_slippage_bp,tick_half_spread_minus_fixed_bp
2024-07-12,0.5620120448589688,0.2810060224294844,0.28100602242948436,0.00016860361345769062,0.0003053476540766816,5.433115835681164,3.0,2.433115835681164
2024-07-19,0.540072875249742,0.27003643762487095,0.27003643762487106,0.00016202186257492258,0.0004087040140560918,7.567571577578263,3.0,4.567571577578263
2024-07-26,0.45834602304879807,0.2291730115243992,0.22917301152439887,0.0001375038069146394,0.0002794430543210532,6.09677056784023,3.0,3.09677056784023
2024-08-02,0.20119905681887854,0.10059952840943909,0.10059952840943942,6.035971704566356e-05,0.00014779596875601615,7.345758528533442,3.0,4.345758528533442
2024-08-09,0.5524734575337852,0.2762367287668924,0.2762367287668927,0.00016574203726013551,0.0005017643179687931,9.082143424747406,3.0,6.0821434247474055
2024-08-16,0.257596653351193,0.1287983266755967,0.12879832667559632,7.72789960053579e-05,0.00015130083939567497,5.873556097384534,3.0,2.873556097384534
2024-08-23,0.5972296794700556,0.29861483973502784,0.2986148397350278,0.0001791689038410167,0.000365006310379894,6.111657255610234,3.0,3.1116572556102344
2024-08-30,0.228447916548165,0.11422395827408247,0.11422395827408252,6.853437496444948e-05,0.00018274585950056935,7.999453978913395,3.0,4.999453978913395
2024-09-06,0.5565661403618516,0.27828307018092574,0.2782830701809258,0.00016696984210855546,0.00032916693257970474,5.914246460729658,3.0,2.9142464607296583
2024-09-13,0.1536118185722987,0.07680590928614942,0.07680590928614928,4.6083545571689604e-05,9.778165307980178e-05,6.365503252849,3.0,3.365503252849
2024-09-20,0.13056868060097335,0.06528434030048663,0.06528434030048672,3.9170604180292e-05,0.00010810416016896299,8.279486295747796,3.0,5.279486295747796
2024-09-27,0.49499117698000294,0.2474955884900016,0.24749558849000133,0.00014849735309400085,0.00041852323657894086,8.455165587645388,3.0,5.4551655876453875
2024-10-04,0.06257872737255057,0.0312893636862753,0.03128936368627528,1.8773618211765174e-05,4.806632144730006e-05,7.680936232714728,3.0,4.680936232714728
2024-10-11,0.47623503933175104,0.2381175196658757,0.2381175196658754,0.00014287051179952533,0.00037196682737587907,7.810572441242873,3.0,4.810572441242873
2024-10-18,0.5975681872048083,0.2987840936024042,0.2987840936024042,0.0001792704561614425,0.0003963191416120199,6.632199472763883,3.0,3.632199472763883
2024-10-25,0.31680317600660257,0.15840158800330123,0.1584015880033013,9.504095280198074e-05,0.00020279673983523703,6.401348067009609,3.0,3.401348067009609
2024-11-01,0.22245945740683898,0.1112297287034194,0.11122972870341956,6.673783722205168e-05,0.00014974207867793308,6.731207583774751,3.0,3.7312075837747507
2024-11-08,0.5967564353485344,0.2983782176742672,0.2983782176742671,0.00017902693060456028,0.0002824061917197438,4.732352681790603,3.0,1.7323526817906032
2024-11-15,0.148960508286199,0.07448025414309949,0.0744802541430995,4.46881524858597e-05,8.063506575901377e-05,5.413184117503747,3.0,2.4131841175037474
2024-11-22,0.17296126354924948,0.08648063177462462,0.08648063177462487,5.188837906477485e-05,9.057560036402863e-05,5.2367563988244035,3.0,2.2367563988244035
2024-11-29,0.3874821594255271,0.1937410797127636,0.19374107971276344,0.00011624464782765809,0.00016316863266883073,4.210997298836703,3.0,1.2109972988367028
2024-12-06,0.27582658171292657,0.13791329085646314,0.13791329085646342,8.274797451387796e-05,0.00015742643795542725,5.707442588665105,3.0,2.7074425886651046
